R,G,B
158,307,352
158,305,352
158,309,356
161,313,358
162,312,355
158,305,350
156,305,352
161,308,354
162,309,353
157,302,349
159,307,353
160,309,353
159,305,352
159,306,353
158,304,348
156,304,347
158,306,350
159,306,352
158,304,352
158,305,349
158,305,348
159,306,351
158,305,349
156,302,348
157,302,350
158,307,352
157,304,350
156,304,350
158,306,352
157,304,349
158,308,354
158,304,351
158,305,352
158,308,354
160,309,353
160,305,354
157,303,352
159,309,352
160,311,354
160,307,355
159,306,354
159,309,354
159,307,352
158,305,351
159,307,353
157,303,349
157,306,351
159,308,353
158,305,353
157,305,352
159,307,354
159,306,351
157,307,348
160,309,354
160,307,354
158,307,352
160,309,356
159,307,353
157,305,354
156,308,352
159,309,353
158,307,352
157,306,352
159,308,355
159,307,355
158,306,353
158,308,355
160,309,357
159,309,355
159,308,356
159,310,357
161,310,357
159,310,357
161,309,356
160,309,356
159,311,355
161,313,357
160,312,356
160,310,357
160,312,357
164,314,357
161,312,358
161,311,359
160,311,359
160,311,357
160,311,356
160,313,358
162,319,360
164,315,362
162,314,361
163,317,362
164,319,362
164,318,366
163,318,369
166,321,366
164,319,365
165,322,368
166,323,366
166,320,365
166,319,366
166,317,367
164,318,364
165,320,364
167,323,367
168,323,368
167,324,370
170,328,370
169,325,367
166,322,365
166,322,366
167,324,366
166,320,363
165,318,364
165,322,365
168,323,366
166,319,364
166,321,367
168,327,366
169,325,368
167,322,366
166,319,366
167,323,365
167,320,365
166,322,364
166,320,368
167,322,367
166,321,367
166,322,366
168,322,366
166,319,366
165,320,365
167,321,365
167,322,367
167,321,368
165,320,366
166,322,366
166,321,362
166,318,365
166,319,364
166,319,367
162,317,363
165,319,367
164,318,363
164,318,362
164,319,363
165,317,364
163,314,362
162,313,359
162,315,358
162,318,360
163,317,361
163,313,360
161,311,357
159,307,353
159,309,354
159,309,352
158,307,352
159,308,353
159,308,353
158,308,352
159,309,354
160,309,357
159,307,355
157,305,351
156,304,349
158,307,352
160,310,355
160,309,358
161,310,358
161,311,358
161,310,357
160,309,356
160,312,355
162,313,357
162,311,359
161,310,360
162,312,361
161,313,357
161,311,356
161,312,359
162,312,358
162,311,356
162,312,358
161,313,359
162,315,360
162,314,359
162,313,356
162,314,360
162,312,359
161,311,356
161,309,355
159,310,355
161,306,356
160,308,356
160,307,355
159,308,356
159,309,355
159,308,356
160,308,356
160,308,355
158,306,352
157,304,353
158,304,352
157,304,351
157,304,354
156,304,351
156,302,350
158,305,350
158,304,350
157,305,348
157,307,350
157,308,353
158,305,353
157,307,353
159,307,352
158,307,352
158,305,352
158,307,354
160,310,354
157,305,352
157,304,352
159,308,354
158,306,353
156,304,351
158,306,353
159,305,352
158,305,350
157,309,353
161,310,354
159,306,354
158,306,354
159,308,353
159,307,354
159,307,353
158,304,351
158,302,352
159,307,354
158,305,353
157,305,349
159,306,352
157,304,352
158,305,351
158,306,352
158,307,352
159,306,353
158,306,350
158,306,353
158,308,353
159,308,355
159,308,352
160,310,356
159,309,355
159,309,351
160,310,357
161,312,357
161,313,357
160,310,354
160,313,356
162,313,357
159,310,356
160,311,358
160,312,356
161,312,355
160,311,356
162,314,360
161,311,356
159,309,355
161,311,357
160,309,355
160,312,358
163,316,361
161,312,355
160,311,357
162,313,360
162,312,356
159,308,354
161,308,353
159,309,352
161,310,357
162,314,357
164,318,363
163,314,359
162,314,356
163,316,360
164,316,360
162,313,354
161,310,354
161,310,356
161,311,356
160,309,354
159,308,352
160,309,354
160,310,354
160,308,351
159,307,352
161,310,354
161,306,352
159,309,352
160,308,353
162,310,355
160,309,353
160,309,354
161,310,356
161,311,355
162,314,358
163,314,358
163,315,360
162,311,357
162,313,357
162,313,357
163,314,358
163,313,359
162,314,359
164,316,358
163,315,360
161,315,359
165,319,362
165,316,361
163,318,361
165,320,364
168,315,359
163,315,359
164,318,361
164,318,361
164,317,360
165,316,361
164,316,361
164,315,358
163,314,359
164,315,360
163,316,360
163,316,360
164,317,360
163,316,360
164,316,359
164,315,361
163,315,359
163,315,360
160,315,357
163,318,358
164,318,360
164,315,360
164,315,358
163,316,359
163,315,359
164,316,359
164,316,360
164,315,358
164,313,357
163,314,358
164,313,357
163,310,358
163,313,358
164,314,362
164,314,359
164,316,361
167,319,364
166,320,364
166,314,357
165,320,362
166,320,364
166,319,363
165,319,364
167,322,364
166,320,364
165,319,363
167,322,364
166,321,364
164,316,357
165,320,363
166,317,362
163,318,362
165,321,364
166,318,362
164,316,360
164,318,361
165,318,362
163,315,358
165,318,361
165,319,363
163,316,360
164,318,359
164,318,360
164,316,358
164,317,360
163,314,357
163,316,357
166,323,361
168,324,363
168,322,363
168,326,366
169,323,365
168,328,365
170,326,369
169,323,367
169,325,366
171,326,369
172,328,368
170,327,368
169,324,369
170,328,368
171,327,369
169,326,368
170,327,366
169,325,367
167,323,366
168,325,368
168,325,368
167,322,366
167,324,365
167,325,366
167,324,366
167,323,367
168,323,368
170,324,367
168,325,367
168,324,368
168,323,369
167,324,368
168,324,367
167,325,369
168,326,369
168,327,371
169,327,371
168,328,371
169,328,372
168,328,373
169,325,372
168,325,368
169,326,369
168,326,371
167,326,369
168,325,369
167,326,371
169,328,373
169,331,372
169,328,371
168,327,371
167,326,371
166,324,370
166,323,368
167,323,368
167,323,368
165,323,366
166,320,364
166,320,365
165,324,369
165,320,366
164,318,363
163,318,364
162,318,364
163,317,364
163,319,363
163,317,363
162,312,357
162,314,361
162,315,363
162,314,362
162,315,361
162,315,362
162,316,361
162,318,363
163,317,363
163,319,365
165,321,366
164,321,367
164,319,366
164,320,368
165,319,366
163,315,361
163,315,365
163,316,364
163,316,363
163,317,364
163,317,364
164,319,364
165,322,364
165,319,363
165,319,362
164,319,364
164,319,363
164,319,362
164,317,361
163,317,361
164,318,362
163,315,360
161,314,358
162,316,361
164,322,365
162,317,363
166,321,366
166,323,367
165,321,366
166,322,367
166,321,368
165,319,367
165,320,366
165,320,366
163,316,361
161,315,361
164,318,366
167,323,369
165,322,368
165,324,369
167,324,370
167,324,367
166,323,368
166,322,369
166,323,369
167,325,370
167,325,371
167,325,370
166,323,368
165,322,367
166,322,369
167,325,370
165,325,370
166,323,366
166,322,365
166,324,366
166,322,365
166,321,367
167,323,367
164,318,362
163,316,362
163,319,363
162,310,356
161,311,356
162,314,358
162,312,357
161,311,357
160,312,358
161,313,359
162,312,358
160,311,356
161,311,357
161,313,358
162,313,358
161,311,357
160,310,357
161,312,357
162,313,357
161,311,357
161,312,356
161,311,358
162,312,357
161,312,357
161,311,357
161,311,357
161,312,357
160,312,357
161,311,357
162,311,357
160,311,357
160,311,357
160,311,358
161,313,356
160,311,356
161,311,357
160,310,356
161,312,358
162,315,361
163,317,363
163,315,363
162,314,364
163,314,362
161,312,359
159,310,356
161,311,357
159,305,352
156,302,352
157,305,357
160,306,354
156,304,352
157,305,352
158,306,352
157,302,348
155,301,350
156,302,351
157,302,352
157,302,351
155,300,351
156,304,350
156,303,349
156,301,349
155,299,351
157,301,352
155,300,348
155,299,348
155,301,349
156,303,348
156,302,346
155,300,347
157,303,351
156,299,348
154,298,344
156,300,350
157,303,351
154,300,346
157,307,354
158,307,354
158,305,354
157,304,349
156,303,347
156,305,349
158,308,352
159,308,353
159,305,357
158,310,353
160,310,354
160,308,355
158,305,354
158,307,353
158,307,352
158,307,353
159,308,353
159,308,356
158,308,353
158,305,356
157,306,354
158,306,352
157,303,350
156,304,352
157,304,350
156,303,351
157,305,352
157,305,353
158,307,354
157,303,351
155,307,350
157,303,352
158,308,353
158,304,352
158,307,354
160,307,355
159,308,354
159,308,353
159,308,356
159,308,354
160,309,355
161,308,359
160,311,355
161,312,357
161,310,357
161,311,355
161,311,357
162,313,355
161,312,357
162,313,359
162,314,359
163,314,360
163,315,357
163,316,360
163,316,362
163,317,363
166,320,368
166,317,365
163,320,364
163,317,362
166,321,365
165,323,368
166,321,368
165,320,363
165,320,366
165,318,362
165,319,363
166,320,365
165,318,365
165,317,363
165,313,360
162,312,358
165,316,361
163,312,356
161,313,355
163,315,357
163,312,355
161,310,354
161,315,354
162,315,356
162,314,357
162,314,357
162,313,359
163,315,358
162,314,360
162,313,359
163,314,359
163,315,359
163,315,360
164,317,360
163,317,358
163,313,359
162,314,358
162,312,357
161,312,356
160,307,356
159,309,352
160,310,352
160,307,354
159,310,355
160,309,354
159,307,353
159,309,354
160,308,353
158,304,351
158,304,351
156,301,347
156,303,346
158,306,348
157,302,351
157,303,347
158,304,350
157,302,348
157,301,347
155,301,346
157,300,346
156,301,346
156,300,346
155,298,347
156,301,349
157,302,350
156,303,346
157,302,349
157,303,347
157,303,347
158,304,349
159,302,348
158,304,349
158,303,349
157,304,351
158,303,350
158,302,348
158,304,349
159,304,349
158,304,349
159,305,350
159,303,351
157,305,350
158,303,349
158,306,351
159,305,349
160,307,350
160,306,353
160,305,350
156,302,346
160,308,353
159,302,348
156,302,348
160,308,354
160,310,356
161,308,355
160,309,356
161,314,357
161,313,355
161,313,359
162,314,361
164,317,361
164,317,361
164,318,361
163,315,361
162,318,362
164,318,363
163,316,359
164,318,362
163,318,362
165,318,364
163,316,362
163,320,364
165,320,363
164,318,360
163,317,362
164,317,363
163,314,361
162,314,360
163,316,361
162,316,361
163,317,361
163,318,362
165,324,365
166,320,366
163,318,363
165,321,367
165,320,368
165,321,369
168,325,368
166,319,367
164,317,363
164,319,364
164,319,365
163,314,361
162,314,361
163,312,362
161,313,356
160,313,354
162,312,360
161,313,360
161,314,360
161,310,358
157,308,354
157,306,354
159,308,357
158,307,352
157,306,353
157,308,352
158,307,353
156,304,352
157,306,352
158,308,355
158,307,355
159,309,356
157,307,355
159,310,355
159,308,355
158,306,351
159,308,354
159,310,356
159,305,353
158,307,353
159,310,356
159,307,351
159,306,351
157,306,350
157,306,350
158,302,351
156,303,347
155,301,348
158,307,349
157,304,351
158,304,350
157,304,349
156,303,348
156,301,348
156,301,345
156,301,348
156,302,348
156,302,349
157,304,349
158,304,353
158,307,350
157,303,350
157,305,351
158,308,351
159,305,350
159,303,354
159,305,352
157,303,348
157,303,349
158,305,352
158,305,350
158,306,350
157,304,351
157,305,349
157,304,350
157,305,350
156,303,349
156,304,350
158,306,352
158,305,353
158,306,351
157,305,351
158,306,354
158,305,352
158,306,351
157,304,352
158,307,354
159,308,352
158,305,350
157,306,344
157,304,349
157,304,349
156,303,344
156,297,337
148,281,317
143,270,313
142,277,319
154,299,352
154,306,355
157,306,353
158,306,352
160,310,355
161,312,355
160,311,355
160,310,357
161,311,357
160,311,355
159,309,354
159,310,354
160,308,356
158,308,352
160,307,357
159,308,355
157,305,350
156,302,346
157,305,352
156,304,348
157,305,351
156,302,348
156,299,346
155,304,348
158,306,354
159,307,350
157,303,350
156,302,349
157,303,351
156,301,347
155,302,346
157,304,350
156,299,347
155,299,346
155,298,346
156,301,345
154,300,346
156,300,346
155,299,346
155,301,347
157,303,349
158,304,350
156,301,347
157,303,347
157,305,349
160,304,351
157,302,349
158,303,348
157,303,349
158,306,354
158,305,352
157,303,350
158,305,350
158,306,348
157,304,347
157,302,349
156,302,349
156,305,351
156,303,351
158,302,350
156,302,349
158,306,353
159,304,352
157,302,348
156,304,351
159,306,354
159,305,353
157,303,349
157,303,350
159,306,352
158,306,352
158,305,354
158,305,352
159,307,354
160,308,353
158,307,352
159,308,353
158,307,352
159,308,353
158,306,354
160,309,355
159,307,355
159,307,354
160,307,355
160,307,354
159,307,354
159,307,354
159,307,353
159,308,351
158,306,352
159,306,352
158,306,352
158,303,350
158,303,351
159,305,351
158,303,351
157,303,351
157,304,351
157,304,351
157,303,351
157,301,353
157,300,350
156,301,347
156,305,347
158,307,348
159,308,352
159,305,353
158,305,354
159,305,353
158,304,353
159,305,350
158,306,353
157,305,351
156,304,350
157,306,350
159,306,351
159,305,351
157,304,348
157,302,351
159,307,352
157,303,353
157,306,352
159,305,350
159,305,352
160,307,353
157,305,353
158,304,352
157,303,352
158,304,353
157,298,352
158,304,353
157,304,349
157,305,348
158,307,352
159,308,353
158,305,352
157,305,349
157,306,351
158,306,353
158,306,351
158,306,351
158,306,353
159,305,352
157,307,352
158,309,352
159,309,352
159,308,353
160,312,355
160,305,352
160,309,356
160,310,357
161,311,356
159,310,353
160,312,354
161,314,356
161,311,354
160,308,355
160,308,355
159,308,355
159,309,351
159,308,351
159,308,353
160,309,355
160,311,356
160,311,354
160,309,355
161,313,357
160,309,357
160,311,357
161,314,356
161,314,356
160,309,356
160,309,354
160,310,353
160,310,353
160,310,354
160,311,354
161,313,358
162,312,357
161,312,357
163,316,356
163,318,359
162,313,355
163,315,358
164,316,357
163,314,355
162,314,357
162,315,355
162,315,352
161,311,355
162,312,354
161,313,354
161,312,354
161,310,354
161,308,353
159,309,351
160,310,352
161,313,352
162,312,356
163,311,357
160,308,356
160,310,354
159,309,355
159,310,354
161,310,354
160,311,356
161,312,355
161,314,357
161,313,357
161,312,358
160,312,357
160,311,355
161,312,356
161,312,359
161,312,358
161,313,357
161,315,360
163,315,361
162,313,359
161,312,359
161,314,357
162,318,361
163,314,358
162,312,361
163,315,361
163,314,361
162,314,358
162,315,361
164,314,358
162,313,361
161,312,357
162,312,359
161,310,358
159,310,354
159,310,354
160,311,355
161,310,355
160,310,356
160,310,356
160,310,357
159,309,354
159,309,355
160,310,356
160,311,357
160,308,354
160,310,353
160,309,355
159,308,355
159,306,354
159,310,353
159,310,351
159,307,352
158,302,354
159,306,354
159,306,355
159,305,353
158,305,353
159,305,352
158,306,354
160,306,353
157,300,348
156,299,348
155,299,350
157,302,352
160,307,355
159,305,352
157,299,351
156,300,350
157,303,351
157,307,352
159,306,354
157,303,351
156,300,349
157,301,350
158,305,354
160,306,354
157,303,351
156,302,350
157,301,351
157,303,353
159,305,353
158,303,352
156,300,349
157,302,352
158,304,352
158,304,353
157,302,350
156,301,350
158,302,351
158,305,353
