R,G,B
127,143,51
128,144,52
128,143,52
129,144,52
128,144,52
128,143,51
128,143,52
127,143,51
128,144,52
124,144,52
124,143,52
128,143,52
128,143,52
128,143,52
128,144,52
128,143,52
128,143,52
128,143,52
126,145,52
126,142,52
128,144,52
128,143,52
128,143,52
128,143,52
128,143,52
128,143,52
127,142,51
127,144,52
128,144,52
128,143,51
128,144,52
128,144,52
128,143,52
125,144,51
127,141,48
127,143,52
128,143,51
128,143,51
127,143,51
127,143,51
127,143,52
128,144,52
128,143,52
129,145,53
128,144,51
126,144,52
128,143,52
128,144,52
128,143,52
128,143,52
128,143,51
128,143,52
128,143,52
128,143,51
128,144,52
128,143,53
129,144,52
128,144,52
128,143,52
127,145,52
128,143,52
128,144,51
128,143,53
128,143,52
129,145,53
128,144,52
128,143,52
128,143,52
128,143,52
128,144,52
127,143,51
127,140,53
128,144,51
128,143,51
127,143,52
128,144,52
128,143,52
128,144,52
129,144,52
128,144,52
127,143,52
127,143,51
127,143,51
129,144,51
129,144,52
128,143,52
127,143,52
127,145,53
128,144,52
128,144,52
128,144,52
127,143,52
128,143,52
129,145,53
130,145,52
128,143,52
126,142,53
128,143,52
128,144,52
128,144,52
128,143,52
127,144,52
128,144,52
128,144,52
128,144,51
128,144,52
127,143,52
127,143,51
129,145,52
127,144,52
128,144,52
128,143,52
128,143,52
127,143,52
128,144,53
127,144,52
127,143,52
129,144,52
130,146,52
129,145,51
129,145,50
129,146,52
129,146,52
128,145,53
128,143,52
127,143,51
128,144,52
126,145,52
129,144,52
128,143,52
127,143,52
128,144,52
128,143,52
130,147,53
129,146,52
130,145,51
130,143,52
129,144,52
128,144,52
127,143,51
128,143,52
127,143,52
128,143,52
128,144,52
128,144,52
127,143,52
128,143,52
129,145,53
129,146,52
130,147,52
130,148,53
130,146,52
128,144,52
127,143,52
127,144,52
128,143,51
127,146,53
131,146,52
128,141,52
128,142,52
127,143,51
128,144,52
129,146,52
130,147,52
130,147,52
129,145,52
129,144,52
128,143,51
127,143,52
128,144,52
128,144,52
128,143,52
128,143,52
128,143,52
128,144,52
128,143,51
128,144,52
128,144,52
129,146,52
129,146,52
128,144,53
131,146,52
128,143,52
128,143,52
128,143,50
127,143,50
127,143,52
128,144,52
128,143,52
129,144,52
132,149,53
132,148,52
131,148,52
131,147,51
130,147,52
130,148,53
130,145,52
129,144,52
128,143,52
127,144,51
128,143,52
128,144,52
128,143,52
128,144,52
127,143,52
128,143,52
131,143,52
130,147,53
131,147,52
131,147,52
129,145,52
128,144,52
128,145,52
127,143,52
128,143,52
128,144,52
128,143,52
128,143,52
128,143,52
127,143,49
127,143,52
129,146,53
130,146,53
130,145,52
129,144,53
128,143,52
128,143,52
128,143,52
128,143,52
128,144,52
127,144,52
128,144,52
128,144,53
129,144,52
128,145,52
129,146,52
128,144,52
129,145,52
127,142,52
128,143,51
128,144,52
129,144,52
127,143,52
127,143,52
128,144,52
127,143,49
127,143,50
127,146,53
128,143,52
128,144,52
129,145,53
129,144,52
128,143,53
128,143,52
128,144,52
128,144,52
128,144,52
128,144,52
127,142,49
128,143,52
128,143,52
127,144,52
128,143,52
127,143,51
129,144,52
127,143,51
128,144,52
125,144,52
128,143,52
128,144,52
128,144,52
127,142,52
127,143,52
128,144,52
128,144,52
131,146,53
129,144,52
129,144,52
129,144,52
128,144,52
128,144,52
123,144,49
127,143,52
127,140,52
128,143,51
129,143,52
127,143,52
127,143,52
127,144,52
126,141,52
127,143,52
127,142,51
127,141,49
124,141,50
124,140,50
125,140,50
125,140,47
125,139,50
123,139,49
123,139,50
122,137,49
122,138,49
122,138,49
122,138,49
122,137,49
121,137,48
121,136,48
120,137,48
121,137,49
121,137,48
121,136,49
121,136,49
121,136,49
121,137,49
121,136,49
121,135,48
121,137,49
122,138,49
122,137,49
121,136,50
122,137,49
121,137,49
122,137,49
121,136,49
121,134,49
121,137,49
122,137,49
122,138,49
122,138,49
122,137,49
121,136,49
123,139,50
123,138,49
122,138,49
122,137,49
122,136,50
121,136,48
122,137,49
122,136,49
122,137,49
124,138,51
122,136,49
121,134,49
122,136,49
122,136,50
122,137,49
122,136,49
122,137,50
122,137,50
122,137,50
123,137,50
123,137,50
122,137,50
123,137,50
123,139,51
123,138,50
123,138,50
123,137,49
123,137,50
122,137,49
122,139,50
123,137,49
123,137,49
122,137,49
123,137,50
122,137,49
123,137,49
124,137,49
122,138,48
122,137,48
122,137,48
122,137,48
122,136,48
121,135,48
121,136,48
121,134,47
121,135,48
121,135,47
121,135,48
120,134,46
121,134,46
120,133,46
121,134,47
121,133,46
121,134,47
121,134,46
120,134,48
120,134,47
121,134,48
120,134,48
120,133,47
121,133,47
120,134,48
120,134,49
121,134,48
121,133,48
120,133,48
119,133,48
120,134,48
120,134,49
120,134,48
120,134,48
120,135,50
120,135,48
119,134,48
121,135,48
121,135,49
120,134,47
120,134,47
120,134,48
121,134,47
116,135,49
120,135,49
119,134,48
120,134,47
120,134,49
119,133,48
119,133,47
120,134,47
120,134,48
119,133,48
119,133,47
120,134,48
120,134,48
120,135,48
120,134,48
119,134,47
121,135,47
120,133,48
121,134,48
121,135,49
120,134,47
120,134,47
121,135,49
120,134,49
120,135,49
121,135,49
121,136,49
122,136,49
122,136,49
121,135,49
121,136,49
122,135,49
121,135,49
120,135,48
120,134,48
120,133,49
121,136,48
121,135,48
120,134,47
122,135,48
122,135,48
122,134,47
121,135,47
121,134,46
121,134,46
121,134,46
121,136,46
121,136,47
121,135,44
122,136,48
121,136,48
121,135,48
121,135,48
120,134,48
121,135,48
120,134,48
121,134,47
121,135,47
121,135,48
121,136,48
121,135,45
121,135,48
121,135,47
120,135,49
122,135,48
122,135,48
121,136,48
121,136,49
122,135,49
122,135,49
121,135,49
121,135,49
122,136,51
121,135,48
122,136,49
121,136,49
121,136,49
121,135,48
121,135,48
121,135,47
120,135,48
121,135,47
121,135,48
120,135,47
121,135,48
121,135,48
121,135,48
122,134,48
122,135,49
122,134,48
122,135,49
122,135,49
121,136,50
122,136,49
122,135,49
122,135,49
121,135,49
122,135,49
122,135,49
122,135,48
122,135,48
122,135,48
122,136,49
121,134,49
121,135,48
121,135,48
121,135,47
121,135,48
121,135,48
121,135,47
121,135,48
120,136,48
121,137,48
120,135,48
120,133,49
121,136,48
122,136,49
122,136,48
120,133,49
121,136,49
122,136,48
122,136,49
121,136,48
121,136,48
121,136,48
122,136,49
121,136,48
121,136,48
122,136,49
122,136,48
122,136,49
121,136,50
122,136,49
122,137,48
121,136,48
121,135,48
121,135,48
122,136,48
121,136,48
122,136,48
122,136,49
121,135,48
121,135,48
122,136,49
122,136,48
122,136,49
122,136,48
122,135,48
122,135,48
122,135,48
121,135,49
122,135,49
123,136,49
122,136,49
122,135,49
122,135,49
122,135,49
121,135,47
126,139,51
126,136,49
123,136,49
122,136,49
122,136,49
122,136,49
122,136,49
125,138,50
121,137,49
121,135,46
121,134,49
122,136,49
123,136,49
122,135,49
122,136,49
122,135,49
122,135,49
122,135,49
122,135,49
122,135,49
122,135,48
122,135,48
121,137,49
119,135,48
122,136,48
121,134,47
122,135,48
122,135,48
120,136,48
122,135,49
122,135,50
122,135,49
122,135,49
123,135,50
122,135,49
122,135,49
122,135,49
122,134,49
122,133,49
121,135,48
122,134,48
121,134,48
120,133,47
121,134,49
121,133,47
122,133,48
122,135,48
121,132,49
122,134,47
122,135,49
121,135,48
120,134,48
121,134,47
120,134,48
121,135,48
120,133,47
120,135,48
121,134,48
120,134,48
120,133,47
120,134,47
121,134,48
122,137,49
121,135,48
120,134,49
122,134,49
122,135,49
122,134,47
122,135,49
122,137,50
122,135,49
122,135,49
122,136,49
123,136,47
122,136,50
122,136,49
122,135,49
123,138,50
123,136,49
123,137,49
123,137,49
123,138,49
123,137,49
123,137,49
123,136,49
123,136,48
123,136,49
123,136,48
122,136,49
122,136,48
122,135,49
123,135,49
122,136,48
123,136,49
123,136,49
123,136,49
123,136,49
123,135,50
123,135,49
123,136,49
123,137,49
123,136,49
123,136,49
123,137,49
123,136,49
123,136,49
123,135,49
123,137,49
123,136,49
123,136,48
122,135,47
122,136,49
123,136,49
122,136,49
122,136,46
122,136,50
122,136,49
123,136,49
123,136,49
123,137,49
123,136,49
123,136,49
122,138,50
123,134,49
122,136,49
123,136,49
122,136,49
122,135,49
123,136,49
122,136,49
123,136,49
122,136,49
122,135,49
121,134,47
122,136,49
122,135,49
122,136,49
122,136,48
121,134,48
123,135,49
122,135,49
122,135,49
