R,G,B
65,139,54
66,140,54
66,136,55
66,140,54
66,141,55
66,141,55
66,140,55
66,141,55
66,140,55
67,141,55
66,142,55
65,139,55
66,141,55
67,140,54
66,139,54
66,141,53
65,138,53
66,139,54
66,144,55
66,142,56
66,143,56
69,143,55
67,140,54
66,139,55
66,140,55
66,142,56
69,143,55
66,143,56
68,144,56
68,144,56
67,144,56
66,144,56
67,143,56
66,144,57
66,145,56
67,146,56
66,144,56
66,142,55
67,145,57
67,144,56
66,144,57
65,144,59
66,143,55
66,143,54
67,141,54
66,143,56
66,143,56
66,144,55
66,143,55
66,143,55
67,144,56
67,144,56
67,143,55
68,145,54
66,141,55
66,142,54
66,141,54
66,141,55
66,142,57
67,143,55
67,143,56
67,142,54
67,143,55
67,143,55
67,142,54
67,142,56
67,142,55
67,142,55
67,142,54
66,142,55
66,141,55
66,142,55
65,142,55
65,142,54
64,140,52
65,142,52
63,143,52
65,139,52
65,142,52
66,142,52
66,144,53
66,142,52
66,141,51
67,142,50
66,141,51
67,141,52
68,140,51
68,141,52
68,141,51
67,141,52
67,142,52
66,142,52
66,141,54
66,142,52
67,142,53
66,141,52
67,142,50
67,143,52
67,143,53
67,143,53
67,143,53
67,143,53
67,142,53
68,142,53
67,142,53
67,142,53
67,142,53
69,143,53
68,142,53
68,142,53
69,143,54
68,143,54
67,142,53
67,142,53
67,141,54
67,143,54
67,143,54
66,143,54
69,142,55
67,142,56
66,142,54
66,146,56
69,146,57
69,146,59
69,143,58
69,145,59
70,144,59
70,146,60
70,147,59
71,148,60
73,149,63
73,149,69
74,150,72
76,147,76
76,144,77
74,143,79
74,142,76
73,143,74
74,145,75
73,144,70
72,143,64
68,137,59
67,135,55
66,135,53
64,135,50
63,133,46
61,132,44
60,134,43
61,137,41
62,140,43
63,142,42
64,144,46
65,146,48
68,148,49
69,149,51
69,149,53
71,152,58
71,149,61
71,149,61
70,149,60
70,149,62
68,148,57
68,146,56
67,146,56
69,147,55
66,146,54
66,145,53
66,143,53
66,144,53
67,144,54
68,143,54
67,143,53
67,144,53
65,143,53
67,143,53
66,143,54
70,143,54
66,142,53
66,143,54
66,143,53
66,142,54
66,144,55
66,141,55
66,140,55
65,140,55
65,140,52
65,140,53
65,139,53
65,140,52
65,139,52
65,140,52
65,139,52
64,139,52
66,140,52
66,141,52
66,141,50
67,140,52
67,137,53
